Date,County,Waterbody,Category,Species
2025-10-10,Carroll County,Crooked Creek,A,Rainbow Trout
2025-10-10,Carroll County,Little Reed Island Creek,A,"Rainbow Trout, Brown Trout"
2025-10-10,Wythe County,Cripple Creek (Ravens),A,Rainbow Trout
2025-10-10,Roanoke County,Glade Creek,A,"Rainbow Trout, Brook Trout"
2025-10-10,Franklin County,Pigg River (stocked for youth event on 10/5),A,"Rainbow Trout, Brook Trout"
2025-10-10,Rockbridge County,Maury River,A,"Rainbow Trout, Brown Trout"
2025-10-10,Grayson County,Big Wilson Creek,A,Rainbow Trout
2025-10-09,Smyth County,South Fork Holston River (Buller Dam),A,Rainbow Trout
2025-10-09,Shenandoah County,Stony Creek,A,"Rainbow Trout, Brown Trout"
2025-10-09,Bath County,Douthat Lake (Only),+,Rainbow Trout
2025-10-09,Smyth County,South Fork Holston River (Lower),A,Brook Trout
2025-10-08,Bath County,Jackson River (Rt. 623),A,"Rainbow Trout, Brown Trout"
2025-10-08,Buchanan County,Dismal River,A,Brook Trout
2025-10-08,Russell County,Big Cedar Creek,A,Brook Trout
2025-10-07,Grayson County,Elk Creek,A,"Rainbow Trout, Brown Trout"
2025-10-07,Grayson County,Hales Lake,A,"Rainbow Trout, Brown Trout"
2025-10-07,Rockingham County,South River (Grottoes),A,"Rainbow Trout, Brown Trout"
2025-10-07,Augusta County,South River (Ridgeview Park),A,"Rainbow Trout, Brown Trout"
2025-10-07,Augusta County,South River (Catch and Release section),CR,"Rainbow Trout, Brown Trout"
2025-10-07,Lee County,Martins Creek,A,Brook Trout
2025-10-07,Lee County,Indian Creek,DH,Brook Trout
2025-10-07,Washington County,Whitetop Laurel (Lower),A,Brook Trout
2025-10-07,Washington County,Whitetop Laurel (Upper),A,Brook Trout
2025-10-07,Washington County,Tennessee Laurel,A,Brook Trout
2025-10-06,Albemarle County,Scottsville Lake (Was Named: Mink Creek Reservoir),A,"Rainbow Trout, Brown Trout, Tiger Trout"
2025-10-06,Albemarle County,Mint Springs Lake (Upper),A,"Rainbow Trout, Brown Trout, Tiger Trout"
2025-10-06,Albemarle County,Sugar Hollow Reservoir,A,Rainbow Trout
2025-10-06,Bath County,Douthat Lake & Wilson Creek,+,Rainbow Trout
2025-10-06,Bath County,Back Creek,A,"Rainbow Trout, Brown Trout"
2025-10-06,Bath County,Back Creek,DH,"Rainbow Trout, Brown Trout"
2025-10-04,Wythe County,Cripple Creek (Rt. 94),A,Rainbow Trout
2025-10-03,Bland County,Wolf Creek,A,Rainbow Trout
2025-10-03,Giles County,Wolf Creek,A,Rainbow Trout
2025-10-03,Nelson County,Tye River,A,"Rainbow Trout, Brown Trout, Brook Trout, Tiger Trout"
2025-10-03,Shenandoah County,Passage Creek,A,"Rainbow Trout, Brown Trout"
2025-10-03,Warren County,Passage Creek,DH,"Rainbow Trout, Brown Trout"
2025-10-03,Scott County,Big Moccasin Creek,DH,Rainbow Trout
2025-10-03,Scott County,Stock Creek,B,"Rainbow Trout, Brook Trout"
2025-10-03,Wise County,Middle Fork of Powell River,DH,"Rainbow Trout, Brook Trout"
2025-10-02,Carroll County,Chestnut Creek,DH,Rainbow Trout
2025-10-02,Bath County,Douthat Lake & Wilson Creek,+,Rainbow Trout
2025-10-02,Bath County,Bullpasture River,A,"Rainbow Trout, Brown Trout"
2025-10-02,Highland County,Bullpasture River,A,"Rainbow Trout, Brown Trout"
2025-10-02,Wise County,Pound River / N. Fork Pound River,DH,Rainbow Trout
2025-10-02,Dickenson County,Cranesnest River,B,Rainbow Trout
2025-10-01,Floyd County,Burkes Fork,A,"Rainbow Trout, Brown Trout"
2025-10-01,Floyd County,Little River,A,Rainbow Trout
2025-10-01,Pulaski County,Peak Creek-Town of Pulaski,B,Rainbow Trout
2025-10-01,Henry County,Smith River (Lower),A,Rainbow Trout
2025-10-01,Amherst County,Piney River,DH,"Rainbow Trout, Brown Trout, Tiger Trout"
2025-10-01,Bath County,Cowpasture River,A,Rainbow Trout
2025-10-01,Bath County,Spring Run,CR,Rainbow Trout
2025-10-01,Page County,Hawksbill Creek,A,Rainbow Trout
2025-10-01,Lee County,North Fork Powell River,A,Rainbow Trout
2025-10-01,Lee County,Hardy Creek,DH,Rainbow Trout
